rank,rating_numeric,num_played,player_id,summoner_region,riot_id,puuid,rating,live.encryption_key,live.game_start_time,live.match_id,live.player_id,live.type,stats.RecentResult.ItemData.AD,stats.RecentResult.ItemData.AP,stats.RecentResult.ItemData.Tank,stats.RecentResult.avg_similarity,stats.RecentResult.board_strength_percentile_sum,stats.RecentResult.damage_percentile_sum,stats.RecentResult.lpChange,stats.RecentResult.num_played,stats.RecentResult.percentile_count,stats.RecentResult.place_sum,stats.RecentResult.topCarries,stats.RecentResult.wins,stats.appMatches,stats.currentPatchResult.ItemData.AD,stats.currentPatchResult.ItemData.AP,stats.currentPatchResult.ItemData.Tank,stats.currentPatchResult.avg_similarity,stats.currentPatchResult.board_strength_percentile_sum,stats.currentPatchResult.damage_percentile_sum,stats.currentPatchResult.lpChange,stats.currentPatchResult.num_played,stats.currentPatchResult.percentile_count,stats.currentPatchResult.place_sum,stats.currentPatchResult.topCarries,stats.currentPatchResult.wins,stats.num_played,stats.place_sum,stats.wins
623,3975,1022,247159732,vn2,Jinx Độc Lập#0809,i89UuzUCMn22srZiJrok03Z52L_d1dgShu52xSFohMmzMjhTj-fcqLHqENWAxixf0-esHE81QdcpQg,CHALLENGER I 1175 LP,,,,,,99,48,108,0.2209,906,977,-45,20,20,82,"[{""character_id"": ""TFT15_Braum"", ""count"": 9, ""avg"": 3.642857142857143}]",2,True,18,9,26,0.1157,164,161,-118,4,4,24,"[{""character_id"": ""TFT15_Swain"", ""count"": 2, ""avg"": 6.5}, {""character_id"": ""TFT15_Leona"", ""count"": 2, ""avg"": 6.5}]",0,1022,4403,150
624,3975,735,138258026,tw2,WhosUrMommy#8260,sbJGLTR2p92DZJyBwLpkPDOyhY5odqoBOuhK5Gu_jd6TjXPwXZDKuoM3zYzWg0uNr0xr71-t5GkkBA,CHALLENGER I 1175 LP,,,,,,85,85,111,0.3241,829,1185,265,20,20,59,"[{""character_id"": ""TFT15_Braum"", ""count"": 9, ""avg"": 3.3333333333333335}]",5,False,26,30,38,0.1875,334,414,71,7,7,20,"[{""character_id"": ""TFT15_Rammus"", ""count"": 3, ""avg"": 4}, {""character_id"": ""TFT15_Malzahar"", ""count"": 3, ""avg"": 4}]",3,735,3113,131
625,3974,278,227312939,kr,정자역벌툰#TFT,aEG-CZVki5DjinE1gl9TN65wz_em0wepvm82qBakDQmIV1zAFbkornGXtgDyloBa4EhR47WUg-Z9qg,CHALLENGER I 1174 LP,GnGbDQqKBXE4BaMKBDdgv8PCQotKn0E5,1762357061590,KR_7900115311,227312939,leaderboard,83,55,111,0.2429,900,823,121,20,20,77,[],2,True,18,19,21,0.1062,286,295,-42,5,5,24,"[{""character_id"": ""TFT15_Darius"", ""count"": 2, ""avg"": 7.666666666666667}, {""character_id"": ""TFT15_Rammus"", ""count"": 2, ""avg"": 7.666666666666667}]",1,277,1101,51
626,3974,297,62826246,kr,부쉬에서만나#KR1,AepZDPySItd8AIzwrTkUfrThSWGaVGvW2FOg1RrfrHTFnDwbXFARFbKC3YI2kvLIA8YdZDmV135i7A,CHALLENGER I 1174 LP,,,,,,97,60,110,0.1745,1116,997,50,20,20,82,"[{""character_id"": ""TFT15_JarvanIV"", ""count"": 8, ""avg"": 3.25}]",2,False,,,,,,,,,,,,,297,1189,59
627,3974,546,226267116,vn2,Gnud36#0806,508_040z3FW2w0tunREy8OtJr9TGLofAtkJIJlRHY3mAcNGol5kZrQXLCsEyZlTZx7tLNUj3mekleA,CHALLENGER I 1174 LP,,,,,,107,60,104,0.3952,1145,991,43,20,20,81,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 11, ""avg"": 3.4166666666666665}, {""character_id"": ""TFT15_Braum"", ""count"": 10, ""avg"": 3.3636363636363638}]",6,False,38,35,51,0.1753,542,357,-9,9,9,38,"[{""character_id"": ""TFT15_Jinx"", ""count"": 4, ""avg"": 4.5}, {""character_id"": ""TFT15_Poppy"", ""count"": 4, ""avg"": 4.5}]",2,546,2300,101
628,3972,607,266969,kr,온천이#솜털말이,Oc9OSk7kfzcJ_kUoh6Dn5bqJya77I7Or4jt3wgg2QU04n1R2xTaoIJcdFoYv7I842Hf1UOtAg7g8KQ,CHALLENGER I 1172 LP,,,,,,76,41,131,0.1495,692,1001,101,20,20,79,[],1,True,,,,,,,,,,,,,607,2603,80
629,3972,347,3435273,la1,Cesar Baker#LAN,UY-kbGBNpKmN2veso11hZI-ruM4JQd7Ffxi7l3aVmZ44BzOz3EeR3oMQdOQfL_uFW3kFh0C_3Q04Kw,CHALLENGER I 1172 LP,,,,,,63,76,93,0.1858,1091,590,-28,20,20,80,"[{""character_id"": ""TFT15_TwistedFate"", ""count"": 8, ""avg"": 3.875}]",1,False,,,,,,,,,,,,,347,1332,64
630,3972,407,4465458,kr,현대인과기독교#KR1,SPl-R6yrtjZpva3jR5r6I5SHSfrDpL4KBKzTBsxLokYRIfPsHAWJzHm_qjXpFDkDPBf3eTDFRMGOgA,CHALLENGER I 1172 LP,,,,,,59,80,115,0.1632,941,938,89,20,20,81,[],4,False,,,,,,,,,,,,,407,1640,63
631,3971,1231,43816285,kr,시르빙#KR1,jKQUj_hgG_tGZLlqk3-95EwX3iwkgRXyBNsmFG9_8REqPYU5zrgLGzqt74T4AGetUKY5lbyQF8EOJQ,CHALLENGER I 1171 LP,,,,,,72,82,124,0.2658,1083,822,246,20,20,72,"[{""character_id"": ""TFT15_Jinx"", ""count"": 8, ""avg"": 4.125}]",3,False,,,,,,,,,,,,,1230,5425,157
632,3971,460,379537555,kr,Deceptive#0116,wgAtwJ4cHfFNAN-MsdfpUeOlIO6Drn3uyR4S2n2rIBKmxjdpKFnMoBLSfMy1kzWB_KF6jEdYW7jFwQ,CHALLENGER I 1171 LP,,,,,,90,63,111,0.2651,995,931,76,20,20,81,"[{""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 3.2222222222222223}]",1,True,,,,,,,,,,,,,460,1917,64
